,Description,Position Id,Variance,EPC,PC,Position,Men off,Wastage,Checkers,1,2,3,4,5,6,Formula used,Estimate,Error,Abc,Matussek,2 Tower,3 Tower,4 Tower,5 Tower,Odd,CG,CG_N,gap1,gap2,gap3,gap4,gap5,gap6,tower1,tower2,tower3,tower4,tower5,tower6,towers,acedeuce,highlow,High,Medium,Low,Rollish
8868,Medium,45051,1.1343788,53.872997,46,5 102034,5,7.872997,10,1,0,2,0,3,4,Tba,53.0,-0.8729972839,54.0,55.1,,,,,0,4.6,1.5333333333333332,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,False,True,False,False
8869,Medium,39987,0.9701224,47.954147,40,6 102033,6,7.954147,9,1,0,2,0,3,3,Tba,47.0,-0.9541473389,48.0,48.0,,,,,1,3.9444444444444446,1.3148148148148149,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,False,True,False,False
8870,Medium,32548,1.2120805,63.829136,54,1 032522,1,9.829136,14,0,3,2,5,2,2,Tba,61.0,-2.829135895,62.5,67.6,,,,,0,3.857142857142857,1.2857142857142858,1,0,0,0,0,0,0,0,0,1,0,0,1,3,5,False,True,False,False
8871,Medium,32819,0.8392312,42.133057,34,7 102032,7,8.133057,8,1,0,2,0,3,2,Matussek,41.9,-0.2330566406,42.0,41.9,,,,,0,4.25,1.4166666666666667,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,False,True,False,False
8872,Medium,22603,1.2222805,55.116714,46,4 002621,4,9.116714,11,0,0,2,6,2,1,Four Tower,56.3,1.183285522,53.0,57.0,,,56.3,,1,3.6818181818181817,1.2272727272727273,1,1,0,0,0,0,0,0,0,1,0,0,1,0,6,False,True,False,False
8873,Medium,22378,1.0154512,49.582806,41,5 003421,5,8.582806,10,0,0,3,4,2,1,Tba,48.0,-1.582805634,48.5,51.0,,,,,0,4.1,1.3666666666666665,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,False,True,False,False
8874,Medium,21929,0.7871865,40.86284,33,7 003221,7,7.86284,8,0,0,3,2,2,1,Matussek,41.2,0.3371612549,40.5,41.2,,,,,0,4.125,1.375,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,False,True,False,False
8875,Low,23655,0.8050285,55.749393,41,2 420331,2,14.749393,13,4,2,0,3,3,1,Tba,48.0,-7.749393463,53.0,58.0,,,,,1,2.6538461538461537,0.8846153846153846,0,0,1,0,0,0,0,0,0,0,0,0,0,6,4,False,False,True,False
8876,Rollish,218,0.5559956,50.079025,22,1 761000,1,28.079025,14,7,6,1,0,0,0,Tba,29.0,-21.07902527,40.0,51.1,,,,,0,1.5714285714285714,0.5238095238095238,0,0,0,1,1,1,1,1,0,0,0,0,2,13,7,False,False,False,True
8877,Rollish,19605,0.4251415,38.61169,26,6 320211,6,12.61169,9,3,2,0,2,1,1,Tba,33.0,-5.611690521,37.0,39.2,,,,,1,2.388888888888889,0.7962962962962963,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,False,False,False,True
8878,High,34327,1.4767047,64.03157,56,2 012442,2,8.03157,13,0,1,2,4,4,2,Abc,63.5,-0.5315704346,63.5,67.0,,,,,1,3.8076923076923075,1.2692307692307692,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,True,False,False,False
8879,Medium,28905,0.8836382,44.807667,36,6 012402,6,8.807667,9,0,1,2,4,0,2,Tba,43.0,-1.807666779,43.5,46.2,,,,,1,3.5,1.1666666666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,False,True,False,False
8880,Medium,47406,1.124497,57.98462,48,4 023015,4,9.98462,11,0,2,3,0,1,5,Tba,55.0,-2.984619141,56.5,59.2,,,,,1,3.8636363636363633,1.2878787878787878,1,0,0,1,0,0,0,0,0,0,0,1,1,2,5,False,True,False,False
8881,Medium,42104,0.83382773,47.584408,37,6 023004,6,10.584408,9,0,2,3,0,0,4,Tba,44.0,-3.584407806,45.5,47.9,,,,,1,3.6111111111111107,1.2037037037037035,1,0,0,1,1,0,0,0,0,0,0,0,0,2,4,False,True,False,False
8882,Medium,35899,0.6774306,41.0158,30,7 032003,7,11.0158,8,0,3,2,0,0,3,Matussek,40.3,-0.7158004761,38.5,40.3,,,,,0,3.75,1.25,1,0,0,1,1,0,0,0,0,0,0,0,0,3,3,False,True,False,False
8883,Medium,16325,0.41494298,28.749905,19,9 031101,9,9.749905,6,0,3,1,1,0,1,Matussek,28.7,-0.04990463257,27.5,28.7,,,,,0,3.1666666666666665,1.0555555555555556,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,False,True,False,False
8884,Low,28945,0.8931366,62.462765,44,0 513402,0,18.462765,15,5,1,3,4,0,2,Tba,51.0,-11.46276474,57.0,64.0,,,,,1,2.433333333333333,0.811111111111111,0,0,0,0,1,0,1,0,0,0,0,0,1,6,5,False,False,True,False
8885,Low,17698,0.70424724,52.885445,35,2 512401,2,17.885445,13,5,1,2,4,0,1,Tba,42.0,-10.88544464,47.5,54.1,,,,,1,2.1923076923076925,0.7307692307692308,0,0,0,0,1,0,1,0,0,0,0,0,1,6,5,False,False,True,False
8886,Low,17348,0.66461325,46.2717,29,4 502301,4,17.2717,11,5,0,2,3,0,1,Tba,36.0,-10.27170181,41.0,46.4,,,,,1,2.1363636363636362,0.712121212121212,0,1,0,0,1,0,1,0,0,0,0,0,1,5,5,False,False,True,False
8887,Medium,16315,0.39991084,27.30723,18,9 121101,9,9.30723,6,1,2,1,1,0,1,Matussek,27.4,0.09277000427,27.0,27.4,,,,,0,3.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,False,True,False,False
8888,Low,40642,1.1579193,68.55759,52,0 260043,0,16.55759,15,2,6,0,0,4,3,Tba,59.0,-9.55758667,64.0,70.4,,,,,1,2.966666666666667,0.9888888888888889,0,0,1,1,0,0,0,1,0,0,0,0,1,8,6,False,False,True,False
