,Description,Position Id,Variance,EPC,PC,Position,Men off,Wastage,Checkers,1,2,3,4,5,6,Formula used,Estimate,Error,Abc,Matussek,2 Tower,3 Tower,4 Tower,5 Tower,Odd,CG,CG_N,gap1,gap2,gap3,gap4,gap5,gap6,tower1,tower2,tower3,tower4,tower5,tower6,towers,acedeuce,highlow,High,Medium,Low,Rollish
0,Medium,11352,0.7822022,43.568146,33,6 023040,6,10.568146,9,0,2,3,0,4,0,Tba,40.0,-3.568145752,42.5,44.3,,,,,1,3.1666666666666665,1.0555555555555556,1,0,0,1,0,1,0,0,0,0,0,0,0,2,4,False,True,False,False
1,Medium,40379,1.2608215,67.68321,58,0 124233,0,9.68321,15,1,2,4,2,3,3,Tba,65.0,-2.68321228,68.2,72.0,,,,,1,3.3666666666666667,1.1222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,False,True,False,False
2,Medium,11290,0.734333,36.75897,28,8 012040,8,8.75897,7,0,1,2,0,4,0,Five Tower,36.8,0.04103164673,36.5,37.2,,,,36.8,1,3.5,1.1666666666666667,1,0,0,1,0,1,0,0,0,0,0,0,0,1,4,False,True,False,False
3,Medium,40242,1.1867104,61.434307,52,2 114133,2,9.434307,13,1,1,4,1,3,3,Tba,59.0,-2.434307098,61.7,64.3,,,,,1,3.5,1.1666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,False,True,False,False
4,High,11214,0.6970266,30.47246,23,A 001040,10,7.47246,5,0,0,1,0,4,0,Five Tower,30.6,0.1275402069,31.0,30.1,,,,30.6,1,4.1,1.3666666666666665,1,1,0,1,0,1,0,0,0,0,0,0,0,0,4,True,False,False,False
5,Medium,40030,1.0148729,54.271397,45,4 113033,4,9.271397,11,1,1,3,0,3,3,Tba,52.0,-2.271396637,54.0,55.1,,,,,1,3.590909090909091,1.196969696969697,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,False,True,False,False
6,High,45422,1.6720073,70.57655,63,1 012434,1,7.57655,14,0,1,2,4,3,4,Abc,70.5,-0.07655334473,70.5,74.0,,,,,0,4.5,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,True,False,False,False
7,Medium,48371,1.5097157,66.74314,59,2 021325,2,7.74314,13,0,2,1,3,2,5,Tba,66.0,-0.7431411743,67.0,70.0,,,,,1,4.038461538461538,1.346153846153846,1,0,0,0,0,0,0,0,0,0,0,1,1,2,5,False,True,False,False
8,High,45378,1.567497,66.41211,59,2 012334,2,7.41211,13,0,1,2,3,3,4,Abc,66.5,0.087890625,66.5,69.6,,,,,1,4.038461538461538,1.346153846153846,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,True,False,False,False
9,Medium,43973,1.1525004,56.05106,48,4 021314,4,8.05106,11,0,2,1,3,1,4,Tba,55.0,-1.051059723,56.0,58.7,,,,,1,3.8636363636363633,1.2878787878787878,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,False,True,False,False
10,High,40440,1.361554,58.20817,51,4 002333,4,7.20817,11,0,0,2,3,3,3,Abc,58.0,-0.2081718445,58.0,59.2,,,,,1,4.136363636363637,1.378787878787879,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,True,False,False,False
11,Medium,42811,1.0066129,48.934402,41,6 011304,6,7.934402,9,0,1,1,3,0,4,Tba,48.0,-0.9344024658,48.5,50.2,,,,,1,4.055555555555555,1.3518518518518519,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,False,True,False,False
12,High,40314,1.230226,53.008427,46,5 011233,5,7.008427,10,0,1,1,2,3,3,Abc,53.5,0.4915733337,53.5,54.3,,,,,0,4.6,1.5333333333333332,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,True,False,False,False
13,Medium,42548,0.85281426,41.409042,34,8 010204,8,7.409042,7,0,1,0,2,0,4,Matussek,42.0,0.5909576416,41.5,42.0,,,,,1,4.357142857142857,1.4523809523809523,1,0,1,0,1,0,0,0,0,0,0,0,0,1,4,False,True,False,False
14,High,40115,1.0612106,45.813374,39,7 010133,7,6.813374,8,0,1,0,1,3,3,Matussek,46.1,0.2866264343,46.5,46.1,,,,,0,4.875,1.625,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,True,False,False,False
15,High,36585,0.7502141,35.922585,29,9 001203,9,6.922585,6,0,0,1,2,0,3,Matussek,35.4,-0.5225845337,36.0,35.4,,,,,0,4.833333333333333,1.611111111111111,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,True,False,False,False
16,Medium,20981,0.52641976,33.69018,23,8 130021,8,10.69018,7,1,3,0,0,2,1,Matussek,32.9,-0.7901817322,32.5,32.9,,,,,1,2.7857142857142856,0.9285714285714285,0,0,1,1,0,0,0,0,0,0,0,0,0,4,3,False,True,False,False
17,Medium,15651,0.32515794,21.181496,13,B 021001,11,8.181496,4,0,2,1,0,0,1,Matussek,21.0,-0.1814956665,21.0,21.0,,,,,0,3.25,1.0833333333333333,1,0,0,1,1,0,0,0,0,0,0,0,0,2,2,False,True,False,False
18,Rollish,3919,0.24518639,22.719145,12,A 130010,10,10.719145,5,1,3,0,0,1,0,Matussek,22.6,-0.1191448212,22.5,22.6,,,,,1,1.9,0.6333333333333333,0,0,1,1,0,1,0,0,0,0,0,0,0,4,3,False,False,False,True
19,High,31,0.20061728,10.435185,4,D 020000,13,6.435185,2,0,2,0,0,0,0,Matussek,11.1,0.6648145676,13.0,11.1,,,,,0,2.0,0.6666666666666666,1,0,1,1,1,1,0,0,0,0,0,0,0,2,2,True,False,False,False
20,Medium,32,0.11959877,15.199074,5,C 120000,12,10.199074,3,1,2,0,0,0,0,Matussek,14.1,-1.099073792,15.0,14.1,,,,,1,1.1666666666666667,0.3888888888888889,0,0,1,1,1,1,0,0,0,0,0,0,0,3,2,False,True,False,False
21,Medium,1773,0.5686236,34.118412,20,7 303200,7,14.118412,8,3,0,3,2,0,0,Matussek,33.7,-0.4184120178,31.5,33.7,,,,,0,2.5,0.8333333333333334,0,1,0,0,1,1,0,0,0,0,0,0,0,3,3,False,True,False,False
22,Rollish,1146,0.2872949,29.985693,17,8 213100,8,12.985693,7,2,1,3,1,0,0,Matussek,28.6,-1.385692978,28.0,28.6,,,,,1,1.9285714285714284,0.6428571428571428,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,False,False,False,True
23,Medium,3009,0.77229804,48.17542,32,3 412500,3,16.17542,12,4,1,2,5,0,0,Tba,39.0,-9.175418854,44.5,49.4,,,,,0,2.6666666666666665,0.8888888888888888,0,0,0,0,1,1,0,0,0,1,0,0,1,5,5,False,True,False,False
24,Medium,2075,0.6761637,40.553837,20,5 610300,5,20.553837,10,6,1,0,3,0,0,Tba,27.0,-13.55383682,34.5,41.0,,,,,0,2.0,0.6666666666666666,0,0,1,0,1,1,1,0,0,0,0,0,1,7,6,False,True,False,False
25,Rollish,5790,0.5892381,47.041656,33,3 323310,3,14.041656,12,3,2,3,3,1,0,Tba,40.0,-7.041656494,45.5,48.9,,,,,0,2.75,0.9166666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,False,False,False,True
26,Medium,1515,0.51848245,32.177235,15,7 510200,7,17.177235,8,5,1,0,2,0,0,Matussek,32.6,0.4227653503,28.5,32.6,,,,,0,1.875,0.625,0,0,1,0,1,1,1,0,0,0,0,0,1,6,5,False,True,False,False
27,Low,2312,0.56920624,39.593845,27,5 223300,5,12.593845,10,2,2,3,3,0,0,Tba,34.0,-5.593845367,38.5,40.7,,,,,0,2.7,0.9,0,0,0,0,1,1,0,0,0,0,0,0,0,4,3,False,False,True,False
28,Medium,821,0.32964617,23.598892,9,9 500100,9,14.598892,6,5,0,0,1,0,0,Matussek,24.9,1.301107788,22.0,24.9,,,,,0,1.5,0.5,0,1,1,0,1,1,1,0,0,0,0,0,1,5,5,False,True,False,False
29,Medium,1792,0.55922705,33.045,22,7 123200,7,11.045,8,1,2,3,2,0,0,Matussek,33.3,0.2550018311,32.5,33.3,,,,,0,2.75,0.9166666666666666,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,False,True,False,False
30,Rollish,5,0.21219136,22.00463,5,A 500000,10,17.00463,5,5,0,0,0,0,0,Matussek,20.5,-1.504629135,18.0,20.5,,,,,1,0.5,0.16666666666666666,0,1,1,1,1,1,1,0,0,0,0,0,1,5,5,False,False,False,True
31,Medium,1145,0.47297943,25.488436,16,9 113100,9,9.488436,6,1,1,3,1,0,0,Matussek,25.6,0.1115642548,26.0,25.6,,,,,0,2.6666666666666665,0.8888888888888888,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,False,True,False,False
32,Medium,3,0.1388889,14.972222,3,C 300000,12,11.972222,3,3,0,0,0,0,0,Matussek,13.5,-1.472222328,14.0,13.5,,,,,1,0.5,0.16666666666666666,0,1,1,1,1,1,0,0,0,0,0,0,0,3,3,False,True,False,False
33,High,374,0.4668559,19.586277,11,B 013000,11,8.586277,4,0,1,3,0,0,0,Three Tower,20.0,0.4137229919,20.0,19.2,,20.0,,,0,2.75,0.9166666666666666,1,0,0,1,1,1,0,0,0,0,0,0,0,1,3,True,False,False,False
34,Medium,152,0.11959877,15.199074,6,C 111000,12,9.199074,3,1,1,1,0,0,0,Matussek,14.6,-0.5990737915,15.5,14.6,,,,,1,1.5,0.5,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1,False,True,False,False
35,Medium,15511,0.4949426,33.8053,13,7 700001,7,20.8053,8,7,0,0,0,0,1,Matussek,33.6,-0.2053016663,27.0,33.6,,,,,0,1.625,0.5416666666666666,0,1,1,1,1,0,1,0,0,0,0,0,1,7,7,False,True,False,False
36,Rollish,1644,0.54512787,50.317436,24,2 731200,2,26.317436,13,7,3,1,2,0,0,Tba,31.0,-19.31743622,40.5,49.0,,,,,1,1.3461538461538463,0.44871794871794873,0,0,0,0,1,1,1,0,0,0,0,0,1,10,7,False,False,False,True
37,Rollish,865,0.4759962,43.005936,17,4 730100,4,26.005936,11,7,3,0,1,0,0,Tba,24.0,-19.00593567,33.5,41.8,,,,,1,1.0454545454545454,0.34848484848484845,0,0,1,0,1,1,1,0,0,0,0,0,1,10,7,False,False,False,True
38,Low,8540,0.905018,57.104332,43,1 144320,1,14.104332,14,1,4,4,3,2,0,Tba,50.0,-7.10433197,55.2,59.5,,,,,0,3.0714285714285716,1.023809523809524,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,False,False,True,False
39,Rollish,23,0.30133972,29.00553,9,7 710000,7,20.00553,8,7,1,0,0,0,0,Matussek,30.8,1.794470596,24.5,30.8,,,,,0,1.125,0.375,0,0,1,1,1,1,1,0,0,0,0,0,1,8,7,False,False,False,True
40,Medium,8535,0.85623753,52.32409,40,3 034320,3,12.32409,12,0,3,4,3,2,0,Tba,47.0,-5.32408905,50.7,54.2,,,,,0,3.3333333333333335,1.1111111111111112,1,0,0,0,0,1,0,0,0,0,0,0,0,3,4,False,True,False,False
41,Rollish,6,0.21219136,22.00463,6,9 600000,9,16.00463,6,6,0,0,0,0,0,Matussek,24.5,2.495370865,20.0,24.5,,,,,0,1.0,0.3333333333333333,0,1,1,1,1,1,1,0,0,0,0,0,1,6,6,False,False,False,True
42,Medium,5430,0.6996362,43.66938,31,5 034210,5,12.66938,10,0,3,4,2,1,0,Tba,38.0,-5.669380188,41.7,44.6,,,,,0,3.1,1.0333333333333334,1,0,0,0,0,1,0,0,0,0,0,0,0,3,4,False,True,False,False
43,Medium,48328,1.4780327,69.49076,61,1 023225,1,8.49076,14,0,2,3,2,2,5,Tba,68.0,-1.490760803,69.5,73.2,,,,,0,4.357142857142857,1.4523809523809523,1,0,0,0,0,0,0,0,0,0,0,1,1,2,5,False,True,False,False
44,Medium,39633,1.0578856,61.739124,52,1 222323,1,9.739124,14,2,2,2,3,2,3,Tba,59.0,-2.739124298,62.0,65.6,,,,,0,3.7142857142857144,1.2380952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,False,True,False,False
45,Medium,44730,1.2485454,62.522644,54,2 113224,2,8.522644,13,1,1,3,2,2,4,Tba,61.0,-1.522644043,63.0,65.8,,,,,1,3.653846153846154,1.217948717948718,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,False,True,False,False
46,Medium,39453,0.9184774,54.538746,45,3 221223,3,9.538746,12,2,2,1,2,2,3,Tba,52.0,-2.53874588,55.0,57.4,,,,,0,3.75,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,False,True,False,False
47,Medium,39315,0.96988976,52.75206,44,4 113123,4,8.75206,11,1,1,3,1,2,3,Tba,51.0,-1.752059937,53.0,54.3,,,,,1,3.5,1.1666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,False,True,False,False
48,Low,32003,0.6848187,45.987774,36,5 220222,5,9.987774,10,2,2,0,2,2,2,Tba,43.0,-2.987773895,46.0,47.5,,,,,0,3.6,1.2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,False,False,True,False
49,Medium,31863,0.8133348,44.552574,36,6 103122,6,8.552574,9,1,0,3,1,2,2,Tba,43.0,-1.552574158,44.5,44.9,,,,,1,3.5,1.1666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,False,True,False,False
50,Medium,31993,0.76708,40.521107,33,7 110222,7,7.521107,8,1,1,0,2,2,2,Matussek,41.2,0.67889328,41.5,41.2,,,,,0,4.125,1.375,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,False,True,False,False
51,Medium,19779,0.6373992,37.921394,29,7 103211,7,8.921394,8,1,0,3,2,1,1,Matussek,38.0,0.07860565186,37.5,38.0,,,,,0,3.625,1.2083333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,False,True,False,False
52,Medium,21830,0.6544316,35.329964,28,8 101221,8,7.329964,7,1,0,1,2,2,1,Matussek,35.6,0.2700363159,36.0,35.6,,,,,1,3.5,1.1666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,False,True,False,False
53,Medium,5351,0.54047287,30.486628,22,9 003210,9,8.486628,6,0,0,3,2,1,0,Matussek,29.9,-0.5866275787,30.5,29.9,,,,,0,3.6666666666666665,1.222222222222222,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,False,True,False,False
54,Medium,7600,0.5166389,27.7333,20,9 111120,9,7.7333,6,1,1,1,1,2,0,Matussek,28.4,0.6667007446,29.5,28.4,,,,,0,3.3333333333333335,1.1111111111111112,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,False,True,False,False
55,High,1692,0.47617808,21.348677,14,B 002200,11,7.348677,4,0,0,2,2,0,0,Matussek,20.9,-0.4486766815,22.0,20.9,,,,,0,3.5,1.1666666666666667,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,True,False,False,False
56,High,4674,0.4120037,20.415985,14,B 011110,11,6.415985,4,0,1,1,1,1,0,Matussek,21.2,0.7840148926,22.5,21.2,,,,,0,3.5,1.1666666666666667,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,True,False,False,False
57,Medium,950,0.15581597,15.822917,9,C 011100,12,6.822917,3,0,1,1,1,0,0,Matussek,16.0,0.1770830154,17.5,16.0,,,,,1,2.5,0.8333333333333334,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,False,True,False,False
58,High,3891,0.25556317,12.048354,7,D 010010,13,5.048354,2,0,1,0,0,1,0,Matussek,13.0,0.9516458511,15.5,13.0,,,,,0,3.5,1.1666666666666667,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,True,False,False,False
59,Medium,816,0.052469134,8.62037,4,E 000100,14,4.62037,1,0,0,0,1,0,0,Four Tower,8.8,0.1796300888,12.0,8.9,,,8.8,,1,3.5,1.1666666666666667,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,False,True,False,False
60,Low,5302,0.6347242,46.324833,27,3 612210,3,19.324833,12,6,1,2,2,1,0,Tba,34.0,-12.32483292,41.5,48.4,,,,,0,2.25,0.75,0,0,0,0,0,1,1,0,0,0,0,0,1,7,6,False,False,True,False
61,Rollish,2329,0.55194336,52.136715,33,1 443300,1,19.136715,14,4,4,3,3,0,0,Tba,40.0,-12.13671494,47.5,54.3,,,,,0,2.357142857142857,0.7857142857142857,0,0,0,0,1,1,0,0,0,0,0,0,0,8,4,False,False,False,True
62,Low,4769,0.51078266,38.766182,22,5 512110,5,16.766182,10,5,1,2,1,1,0,Tba,29.0,-9.766181946,35.5,40.0,,,,,0,2.2,0.7333333333333334,0,0,0,0,0,1,1,0,0,0,0,0,1,6,5,False,False,True,False
63,Rollish,1178,0.44927764,44.27416,25,3 443100,3,19.27416,12,4,4,3,1,0,0,Tba,32.0,-12.27415848,39.5,45.5,,,,,0,2.0833333333333335,0.6944444444444445,0,0,0,0,1,1,0,0,0,0,0,0,0,8,4,False,False,False,True
64,Medium,366,0.5702099,32.194508,14,7 503000,7,18.194508,8,5,0,3,0,0,0,Matussek,31.9,-0.2945075989,27.5,31.9,,,,,0,1.75,0.5833333333333334,0,1,0,1,1,1,1,0,0,0,0,0,1,5,5,False,True,False,False
65,Rollish,310,0.37612182,36.60493,18,5 442000,5,18.60493,10,4,4,2,0,0,0,Tba,25.0,-11.60493088,32.0,38.3,,,,,0,1.8,0.6,0,0,0,1,1,1,0,0,0,0,0,0,0,8,4,False,False,False,True
66,Rollish,261,0.29101565,29.240782,11,8 502000,8,18.240782,7,5,0,2,0,0,0,Matussek,28.1,-1.140781784,24.0,28.1,,,,,1,1.0714285714285714,0.35714285714285715,0,1,0,1,1,1,1,0,0,0,0,0,1,5,5,False,False,False,True
67,Rollish,193,0.28243527,29.633865,14,7 341000,7,15.633865,8,3,4,1,0,0,0,Matussek,31.5,1.866134644,27.0,31.5,,,,,0,1.75,0.5833333333333334,0,0,0,1,1,1,0,0,0,0,0,0,0,7,4,False,False,False,True
68,Rollish,48,0.1916718,22.389019,9,9 330000,9,13.389019,6,3,3,0,0,0,0,Matussek,23.4,1.010980988,21.5,23.4,,,,,0,1.5,0.5,0,0,1,1,1,1,0,0,0,0,0,0,0,6,3,False,False,False,True
69,Medium,33,0.11959877,15.199074,6,B 220000,11,9.199074,4,2,2,0,0,0,0,Matussek,17.1,1.900926208,17.0,17.1,,,,,0,1.5,0.5,0,0,1,1,1,1,0,0,0,0,0,0,0,4,2,False,True,False,False
70,Medium,1,0.0,8.166667,1,E 100000,14,7.166667,1,1,0,0,0,0,0,Matussek,7.5,-0.6666669846,10.0,7.5,,,,,1,0.5,0.16666666666666666,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,False,True,False,False
71,Medium,2,0.0,8.166667,2,D 200000,13,6.166667,2,2,0,0,0,0,0,Matussek,10.5,2.333333015,12.0,10.5,,,,,0,1.0,0.3333333333333333,0,1,1,1,1,1,0,0,0,0,0,0,0,2,2,False,True,False,False
72,Low,43479,1.0524806,66.78542,51,0 244014,0,15.78542,15,2,4,4,0,1,4,Tba,58.0,-8.785423279,63.2,68.5,,,,,1,2.9,0.9666666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,6,4,False,False,True,False
73,Low,36022,0.8177427,56.918427,40,2 244003,2,16.918427,13,2,4,4,0,0,3,Tba,47.0,-9.918426514,52.2,57.2,,,,,1,2.576923076923077,0.858974358974359,0,0,0,1,1,0,0,0,0,0,0,0,0,6,4,False,False,True,False
74,Low,27959,0.7155063,56.49025,36,1 533102,1,20.49025,14,5,3,3,1,0,2,Tba,43.0,-13.49024963,50.0,57.4,,,,,0,2.5714285714285716,0.8571428571428572,0,0,0,0,1,0,1,0,0,0,0,0,1,8,5,False,False,True,False
75,Low,15945,0.7046268,48.620766,30,3 254001,3,18.620766,12,2,5,4,0,0,1,Tba,37.0,-11.62076569,42.7,48.3,,,,,0,2.5,0.8333333333333334,0,0,0,1,1,0,0,1,0,0,0,0,1,7,5,False,False,True,False
76,Low,27887,0.6447172,49.58354,31,3 522102,3,18.58354,12,5,2,2,1,0,2,Tba,38.0,-11.58354187,44.0,50.3,,,,,0,2.5833333333333335,0.8611111111111112,0,0,0,0,1,0,1,0,0,0,0,0,1,7,5,False,False,True,False
77,Low,15871,0.63028103,42.282757,26,5 153001,5,16.282757,10,1,5,3,0,0,1,Tba,33.0,-9.282756805,37.0,41.5,,,,,0,2.6,0.8666666666666667,0,0,0,1,1,0,0,1,0,0,0,0,1,6,5,False,False,True,False
78,Low,27355,0.5408324,42.871006,26,5 422002,5,16.871006,10,4,2,2,0,0,2,Tba,33.0,-9.871006012,38.0,42.9,,,,,0,2.6,0.8666666666666667,0,0,0,1,1,0,0,0,0,0,0,0,0,6,4,False,False,True,False
79,Medium,408,0.5655198,31.799427,18,7 143000,7,13.799427,8,1,4,3,0,0,0,Matussek,33.1,1.300572968,29.5,33.1,,,,,0,2.25,0.75,0,0,0,1,1,1,0,0,0,0,0,0,0,5,4,False,True,False,False
80,Rollish,35,0.20595184,22.13066,8,9 420000,9,14.13066,6,4,2,0,0,0,0,Matussek,24.1,1.969340897,21.0,24.1,,,,,0,1.3333333333333333,0.4444444444444444,0,0,1,1,1,1,0,0,0,0,0,0,0,6,4,False,False,False,True
81,Medium,46,0.212239,15.829219,7,B 130000,11,8.829219,4,1,3,0,0,0,0,Matussek,17.4,1.570781136,17.5,17.4,,,,,0,1.75,0.5833333333333334,0,0,1,1,1,1,0,0,0,0,0,0,0,4,3,False,True,False,False
82,Medium,1616,0.3279087,24.437199,15,9 211200,9,9.437199,6,2,1,1,2,0,0,Matussek,25.4,0.9628013611,25.5,25.4,,,,,0,2.5,0.8333333333333334,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2,False,True,False,False
83,Rollish,1363,0.6039665,51.457764,32,2 246100,2,19.457764,13,2,4,6,1,0,0,Tba,39.0,-12.45776367,46.6,51.9,,,,,1,1.9615384615384617,0.6538461538461539,0,0,0,0,1,1,0,0,1,0,0,0,1,6,6,False,False,False,True
84,Rollish,570,0.4765858,43.926968,25,4 245000,4,18.926968,11,2,4,5,0,0,0,Tba,32.0,-11.92696762,38.9,43.7,,,,,1,1.772727272727273,0.5909090909090909,0,0,0,1,1,1,0,0,1,0,0,0,1,6,5,False,False,False,True
85,Rollish,409,0.37717178,36.527866,19,6 243000,6,17.527866,9,2,4,3,0,0,0,Tba,26.0,-10.52786636,31.5,36.1,,,,,1,1.6111111111111112,0.5370370370370371,0,0,0,1,1,1,0,0,0,0,0,0,0,6,4,False,False,False,True
86,Medium,39662,1.1379528,66.51195,56,0 214323,0,10.51195,15,2,1,4,3,2,3,Tba,63.0,-3.511947632,66.7,70.9,,,,,1,3.2333333333333334,1.0777777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,False,True,False,False
87,Rollish,297,0.29161224,29.319805,14,8 232000,8,15.319805,7,2,3,2,0,0,0,Matussek,28.0,-1.319805145,25.5,28.0,,,,,1,1.5,0.5,0,0,0,1,1,1,0,0,0,0,0,0,0,5,3,False,False,False,True
88,Low,38507,0.96003026,58.526123,48,2 213313,2,10.526123,13,2,1,3,3,1,3,Tba,55.0,-3.526123047,58.0,60.9,,,,,1,3.1923076923076925,1.064102564102564,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,False,False,True,False
89,Rollish,47,0.20595184,22.13066,8,A 230000,10,14.13066,5,2,3,0,0,0,0,Matussek,20.4,-1.730659103,19.5,20.4,,,,,1,1.1,0.3666666666666667,0,0,1,1,1,1,0,0,0,0,0,0,0,5,3,False,False,False,True
90,Medium,38473,0.9168361,52.657623,43,4 202313,4,9.657623,11,2,0,2,3,1,3,Tba,50.0,-2.657623291,52.0,53.8,,,,,1,3.409090909090909,1.1363636363636365,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,False,True,False,False
91,Medium,18,0.1388889,14.972222,4,C 210000,12,10.972222,3,2,1,0,0,0,0,Matussek,13.8,-1.172222328,14.5,13.8,,,,,1,0.8333333333333333,0.27777777777777773,0,0,1,1,1,1,0,0,0,0,0,0,0,3,2,False,True,False,False
92,Medium,36642,0.7312412,44.623814,34,6 202203,6,10.623814,9,2,0,2,2,0,3,Tba,41.0,-3.623813629,43.0,44.2,,,,,1,3.2777777777777777,1.0925925925925926,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,False,True,False,False
93,Rollish,16927,0.4339074,37.97133,25,6 312201,6,12.97133,9,3,1,2,2,0,1,Tba,32.0,-5.971328735,35.5,38.3,,,,,1,2.2777777777777777,0.7592592592592592,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,False,False,False,True
94,Low,31500,0.7018848,55.110523,37,2 522022,2,18.110523,13,5,2,2,0,2,2,Tba,44.0,-11.11052322,50.0,56.3,,,,,1,2.3461538461538463,0.782051282051282,0,0,0,1,0,0,1,0,0,0,0,0,1,7,5,False,False,True,False
95,Medium,10368,0.9504684,56.14877,41,2 305230,2,15.14877,13,3,0,5,2,3,0,Tba,48.0,-8.148769379,53.9,56.9,,,,,1,2.6538461538461537,0.8846153846153846,0,1,0,0,0,1,0,0,1,0,0,0,1,3,5,False,True,False,False
96,Low,21073,0.66730773,49.583282,30,3 531021,3,19.583282,12,5,3,1,0,2,1,Tba,37.0,-12.58328247,43.5,49.7,,,,,0,2.5,0.8333333333333334,0,0,0,1,0,0,1,0,0,0,0,0,1,8,5,False,False,True,False
97,Medium,4341,0.7580448,45.99306,25,4 505010,4,20.99306,11,5,0,5,0,1,0,Tba,32.0,-13.99306107,39.9,44.7,,,,,1,1.772727272727273,0.5909090909090909,0,1,0,1,0,1,1,0,1,0,0,0,2,5,5,False,True,False,False
98,Low,18608,0.5606087,41.69846,22,5 530011,5,19.69846,10,5,3,0,0,1,1,Tba,29.0,-12.69845963,35.5,40.7,,,,,0,2.2,0.7333333333333334,0,0,1,1,0,0,1,0,0,0,0,0,1,8,5,False,False,True,False
99,Medium,600,0.7882211,41.804012,22,5 406000,5,19.804012,10,4,0,6,0,0,0,Three Tower,39.4,-2.404012299,36.6,41.3,,39.4,,,0,2.2,0.7333333333333334,0,1,0,1,1,1,0,0,1,0,0,0,1,4,6,False,True,False,False
100,Rollish,37,0.30133972,29.00553,10,7 620000,7,19.00553,8,6,2,0,0,0,0,Matussek,31.1,2.094470596,25.0,31.1,,,,,0,1.25,0.4166666666666667,0,0,1,1,1,1,1,0,0,0,0,0,1,8,6,False,False,False,True
101,Medium,456,0.6177106,33.15491,16,7 404000,7,17.15491,8,4,0,4,0,0,0,Matussek,32.7,-0.4549110413,29.2,32.7,,,,,0,2.0,0.6666666666666666,0,1,0,1,1,1,0,0,0,0,0,0,0,4,4,False,True,False,False
102,Rollish,21,0.21219136,22.00463,7,9 510000,9,15.00463,6,5,1,0,0,0,0,Matussek,23.8,1.795370865,20.5,23.8,,,,,0,1.1666666666666667,0.3888888888888889,0,0,1,1,1,1,1,0,0,0,0,0,1,6,5,False,False,False,True
103,Rollish,365,0.31916985,29.58042,13,8 403000,8,16.58042,7,4,0,3,0,0,0,Matussek,28.9,-0.6804195404,25.5,28.9,,,,,1,1.3571428571428572,0.4523809523809524,0,1,0,1,1,1,0,0,0,0,0,0,0,4,4,False,False,False,True
104,Medium,4,0.1388889,14.972222,4,B 400000,11,10.972222,4,4,0,0,0,0,0,Matussek,17.5,2.527777672,16.0,17.5,,,,,0,1.0,0.3333333333333333,0,1,1,1,1,1,0,0,0,0,0,0,0,4,4,False,True,False,False
105,Medium,141,0.25588468,22.596966,8,9 501000,9,14.596966,6,5,0,1,0,0,0,Matussek,24.3,1.70303421,21.0,24.3,,,,,0,1.3333333333333333,0.4444444444444444,0,1,0,1,1,1,1,0,0,0,0,0,1,5,5,False,True,False,False
